CMDLINE C:\Users\root\AppData\Local\Programs\Python\Python37\python.exe julia1_nopil_3.py
MEM 1.593750 1624521724.8518
MEM 15.667969 1624521724.9556
MEM 24.375000 1624521725.0653
MEM 29.949219 1624521725.1770
MEM 37.164062 1624521725.2887
MEM 49.906250 1624521725.3992
MEM 70.558594 1624521725.5099
MEM 91.394531 1624521725.6216
MEM 111.304688 1624521725.7304
MEM 124.539062 1624521725.8381
MEM 124.539062 1624521725.9460
MEM 124.539062 1624521726.0556
MEM 124.539062 1624521726.1636
MEM 124.539062 1624521726.2734
MEM 124.539062 1624521726.3846
MEM 124.539062 1624521726.4938
MEM 124.539062 1624521726.6033
MEM 124.539062 1624521726.7124
MEM 124.542969 1624521726.8219
MEM 124.542969 1624521726.9306
MEM 124.542969 1624521727.0383
MEM 124.542969 1624521727.1481
MEM 124.605469 1624521727.2558
MEM 124.628906 1624521727.3666
MEM 124.664062 1624521727.4773
MEM 124.730469 1624521727.5860
MEM 124.730469 1624521727.6968
MEM 124.792969 1624521727.8055
MEM 124.792969 1624521727.9152
MEM 124.855469 1624521728.0249
MEM 124.855469 1624521728.1367
MEM 124.898438 1624521728.2469
MEM 124.980469 1624521728.3558
MEM 124.980469 1624521728.4675
MEM 125.015625 1624521728.5792
MEM 125.105469 1624521728.6899
MEM 125.105469 1624521728.8006
MEM 125.152344 1624521728.9083
MEM 125.230469 1624521729.0200
MEM 125.292969 1624521729.1297
MEM 125.292969 1624521729.2364
MEM 125.355469 1624521729.3471
MEM 125.355469 1624521729.4564
MEM 125.394531 1624521729.5650
MEM 125.480469 1624521729.6728
MEM 125.480469 1624521729.7815
MEM 125.542969 1624521729.8912
MEM 125.542969 1624521729.9989
MEM 125.605469 1624521730.1070
MEM 125.617188 1624521730.2147
MEM 125.664062 1624521730.3255
FUNC __main__.calculate_z_serial_purepython 116.8438 1624521725.7613 127.6055 1624521735.7016 0
FUNC .create_output_list 116.9062 1624521725.7613 124.5391 1624521725.7643 1
FUNC .create_range_of_zs 124.5391 1624521726.7741 127.6055 1624521735.7016 1
FUNC .calculate_output 124.5391 1624521726.7741 127.6055 1624521735.7016 2
MEM 125.730469 1624521730.4351
MEM 125.730469 1624521730.5449
MEM 125.792969 1624521730.6546
MEM 125.792969 1624521730.7613
MEM 125.855469 1624521730.8711
MEM 125.863281 1624521730.9808
MEM 125.910156 1624521731.0905
MEM 125.980469 1624521731.1992
MEM 126.042969 1624521731.3104
MEM 126.042969 1624521731.4207
MEM 126.105469 1624521731.5284
MEM 126.117188 1624521731.6361
MEM 126.148438 1624521731.7464
MEM 126.230469 1624521731.8547
MEM 126.292969 1624521731.9635
MEM 126.292969 1624521732.0735
MEM 126.355469 1624521732.1816
MEM 126.371094 1624521732.2913
MEM 126.406250 1624521732.3990
MEM 126.480469 1624521732.5077
MEM 126.542969 1624521732.6155
MEM 126.542969 1624521732.7231
MEM 126.605469 1624521732.8299
MEM 126.621094 1624521732.9396
MEM 126.664062 1624521733.0483
MEM 126.730469 1624521733.1570
MEM 126.792969 1624521733.2637
MEM 126.792969 1624521733.3734
MEM 126.855469 1624521733.4822
MEM 126.882812 1624521733.5889
MEM 126.980469 1624521733.6982
MEM 126.980469 1624521733.8066
MEM 127.019531 1624521733.9132
MEM 127.105469 1624521734.0229
MEM 127.105469 1624521734.1326
MEM 127.125000 1624521734.2424
MEM 127.148438 1624521734.3540
MEM 127.230469 1624521734.4610
MEM 127.292969 1624521734.5687
MEM 127.292969 1624521734.6804
MEM 127.355469 1624521734.7881
MEM 127.375000 1624521734.8978
MEM 127.417969 1624521735.0055
MEM 127.480469 1624521735.1128
MEM 127.542969 1624521735.2205
MEM 127.542969 1624521735.3292
MEM 127.605469 1624521735.4355
MEM 127.605469 1624521735.5466
MEM 127.605469 1624521735.6547
MEM 39.175781 1624521735.7640
